Crimes,January,February,March,April,May,June,July,August,September,October,November,December
Murder,1,0,0,1,0,0,0,0,0,0,0,0
Homicide,0,0,0,0,1,0,0,0,0,0,0,0
Physical Injury,6,5,5,0,1,4,0,1,1,1,0,1
Rape,1,1,1,0,0,0,1,0,1,0,0,2
Rape w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Kidnapping w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Kidnapping w/Rape,0,0,0,0,0,0,0,0,0,0,0,0
Robbery,7,1,3,1,7,2,4,0,2,0,3,1
Robbery w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Rape,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Serious Physical Injuries,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Arson,0,0,0,0,0,0,0,0,0,0,0,0
Robbery in Band,0,0,0,0,0,0,0,0,0,0,0,0
Theft,7,9,4,8,9,7,4,5,1,2,1,2
Carnapping MV,0,0,0,0,1,0,0,0,0,0,0,0
Carnapping MC,4,3,0,0,1,0,0,0,1,1,0,0
Carnapping Occupant is Killed/Raped MV,0,0,0,0,0,0,0,0,0,0,0,0
Carnapping Occupant is Killed/Raped MC,0,0,0,0,0,0,0,0,0,0,0,0
Arson w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Acts of Lasciviousness,1,2,0,0,0,0,1,1,0,1,0,0
Adultery,0,0,1,0,0,0,0,0,0,0,0,0
Alarms & Scandals,0,0,1,0,1,0,0,0,1,0,0,1
Corruption of Public Official,0,0,0,0,0,0,0,0,0,0,0,0
Direct Assaults,0,0,0,0,1,0,0,0,0,0,0,0
Grave Threats,0,0,0,0,1,0,0,0,0,0,1,1
Frust/Attemp Anti-Child Abuse Law,0,0,0,0,0,0,0,0,0,0,0,0
Frust/Attemp Anti-VAWC Act 2004,0,0,0,0,0,0,0,0,0,0,0,0
Frust/Attemp Homicide,1,1,3,0,2,1,1,1,0,2,1,0
Frust/Attemp Parricide,0,0,0,0,0,0,0,0,0,0,0,0
Inducing Minor to Abandon Home,0,0,0,0,0,0,0,0,0,0,0,0
Injuries in Tumultuous Affray,0,0,0,0,0,0,0,0,0,0,0,0
Libel,0,0,0,0,0,0,1,0,0,0,0,0
Libelous Remarks,0,0,0,0,0,0,0,0,0,0,0,0
Light Coercions,0,0,0,0,0,0,0,0,0,0,0,0
Light Threats,0,3,0,0,0,0,0,0,0,0,0,1
Malicious Mischief,1,1,2,2,0,0,1,1,0,0,0,3
Frust/Attemp Murder,0,0,1,0,1,2,0,2,1,1,0,0
Other Deceits,0,1,1,1,0,2,0,1,0,0,0,0
Other Forms of Arson,0,0,0,0,0,0,0,0,0,0,0,0
Other Forms of Swindling,0,0,0,0,0,0,0,0,0,0,0,0
Other Forms of Trespass,0,0,0,0,0,0,0,0,0,0,0,0
Other Light Threats,0,1,0,0,0,0,1,0,0,0,0,0
Possession/Use False Treasury/Bank Notes,0,0,0,0,0,0,0,0,1,0,0,0
Qualified Trespass to Dwelling,0,0,0,0,0,0,0,0,0,0,0,0
Resisiting Authorities ,3,2,0,1,1,0,0,2,1,0,0,1
Simple Seduction,0,0,0,0,0,0,0,0,0,0,0,0
Slander (Oral Defamation),1,0,0,0,0,0,0,0,0,0,0,0
Swindling (Estafa),0,0,0,1,0,0,0,0,1,0,0,1
Unjust Vexations,0,0,1,3,2,0,0,0,0,0,0,0
Frust/Attemp Unjust Vexations,0,0,0,0,0,0,0,0,0,0,0,0
Using Forged Signature/Seal/Stamp,0,0,0,0,0,0,0,0,0,0,0,0
Usurpation of Authority/Functions,0,0,0,0,0,0,0,0,0,1,0,0
RIR Homicide,1,2,1,0,1,1,0,0,0,1,1,0
RIR Physical Injury,21,9,14,12,17,9,7,9,10,8,2,3
RIR Damage to Property,15,11,14,8,15,6,6,7,5,9,6,5
Anti-Child Abuse Law,4,2,1,2,1,2,4,2,3,8,2,2
Anti-Drunk & Drugged Driving Act 2013,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Electricity Pilferage Act 1994,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Gambling Law,0,0,1,2,1,1,2,3,2,1,2,0
Anti-Photo & Video Voyeurism Act 2009,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Rabies Act 2007,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Trafficking in Persons Act 2003,0,0,0,0,0,1,0,0,0,0,0,1
Anti-VAWC Act 2004,2,2,5,3,2,3,2,3,3,6,3,3
Bouncing Check Law,0,0,0,0,0,0,0,0,0,1,0,0
Chain Saw Act 2002,0,0,0,0,0,0,0,0,0,0,0,0
Cockfighting Law of 1974,0,0,0,0,0,0,0,0,0,0,0,0
Coconut Preservation Act 2002,0,0,0,0,0,0,0,0,0,0,0,0
Comp. Dangerous Drugs 2002 Importation,0,0,0,0,0,0,0,0,0,0,0,0
Comp. Dangerous Drugs Act 2002,1,2,2,1,0,1,0,1,1,3,2,2
Comprehensive FA Law,2,0,1,0,0,0,1,1,0,1,0,1
Illegal Logging,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Numbers Game,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Possession of Ammunitions & Explosives,1,0,0,0,0,0,0,0,0,0,0,0
Illegal Possession of Weapons,2,1,0,0,1,2,1,1,0,1,1,0
Illegal Practice of Medicine 1959,0,0,1,0,0,0,0,0,0,0,0,0
Illegal Recruitment,0,0,0,0,0,1,0,0,1,0,0,0
Intellectual Property Code Amendment,0,0,0,0,0,0,0,0,0,0,0,0
Law on Reporting Communicable Diseases RA 11332,0,0,0,0,0,0,0,0,0,0,0,0
Obstruction of Prosec. Criminals,0,0,0,0,0,1,0,0,0,0,0,1
Omnibus Election Code of the Philippines,0,0,0,1,2,0,0,0,0,0,0,0
Prohibited Acts on Petroleum,0,0,0,0,0,0,0,0,0,0,0,0
Sexual Harrasment Act 1995 ,0,0,0,0,0,0,0,0,0,0,0,0
Viol. Magna Carta for Diabled Persons,0,0,0,0,0,0,0,0,0,0,0,0
