Crimes,January,February,March,April,May,June,July,August,September,October,November,December
Murder,0,1,0,0,0,0,1,1,0,0,0,0
Homicide,0,0,1,0,0,0,1,1,0,0,0,0
Physical Injury,3,1,0,0,0,1,0,0,0,0,0,0
Rape,1,0,1,0,2,2,2,0,2,0,1,1
Rape w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Kidnapping w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Kidnapping w/Rape,0,0,0,0,0,0,0,0,0,0,0,0
Robbery,1,1,3,0,0,1,1,0,1,0,0,1
Robbery w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Rape,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Serious Physical Injuries,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Arson,0,0,0,0,0,0,0,0,0,0,0,0
Robbery in Band,0,0,0,0,0,0,0,0,0,0,0,0
Theft,4,3,0,0,0,0,2,1,0,1,0,1
Carnapping MV,0,0,0,0,0,0,0,0,0,0,0,0
Carnapping MC,0,1,0,0,0,0,0,0,0,0,1,0
Carnapping Occupant is Killed/Raped MV,0,0,0,0,0,0,0,0,0,0,0,0
Carnapping Occupant is Killed/Raped MC,0,0,0,0,0,0,0,0,0,0,0,0
Arson w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Acts of Lasciviousness,0,0,0,1,1,0,0,0,0,1,0,0
Adultery,0,0,0,0,0,0,0,0,0,0,0,0
Alarms & Scandals,0,0,0,0,0,0,0,1,1,0,0,0
Corruption of Public Official,0,0,0,0,0,0,0,0,0,0,0,0
Direct Assaults,0,2,1,0,1,0,1,0,0,0,2,0
Grave Threats,1,0,0,0,0,0,0,1,3,0,0,0
Frust/Attemp Anti-Child Abuse Law,0,0,0,0,0,0,0,0,0,0,0,0
Frust/Attemp Anti-VAWC Act 2004,0,0,0,0,0,0,0,0,0,0,0,0
Frust/Attemp Homicide,1,2,0,0,1,1,0,0,0,0,0,0
Frust/Attemp Parricide,0,0,0,0,0,0,0,0,0,0,0,0
Inducing Minor to Abandon Home,0,0,0,0,0,0,0,0,0,0,0,0
Injuries in Tumultuous Affray,0,0,0,0,0,0,0,0,0,0,0,0
Libel,0,0,0,0,0,0,0,0,0,0,0,0
Libelous Remarks,0,0,0,0,0,0,0,0,0,0,0,0
Light Coercions,0,0,0,0,0,0,0,0,0,0,0,0
Light Threats,0,0,0,0,0,0,0,0,0,0,0,0
Malicious Mischief,0,0,0,0,0,0,0,0,1,0,0,0
Frust/Attemp Murder,1,1,0,0,0,3,0,0,0,0,0,0
Other Deceits,0,0,0,0,0,0,0,2,0,0,1,0
Other Forms of Arson,0,0,0,0,0,0,0,0,0,0,0,0
Other Forms of Swindling,0,0,0,0,0,0,0,0,0,0,0,0
Other Forms of Trespass,0,0,0,0,0,0,0,0,0,0,0,0
Other Light Threats,0,0,0,1,0,0,0,0,0,1,0,0
Possession/Use False Treasury/Bank Notes,0,0,0,0,0,0,0,0,0,0,0,0
Qualified Trespass to Dwelling,0,0,0,0,0,0,0,0,0,0,0,0
